ticker,name,market_cap,sector,industry,website,employees,price,sma50,sma200,disparity_200,rsi14,rsi14_prev,rsi14_min_10,bb_upper,bb_lower,vol_ratio,tenkan,kijun,cloud_top,cloud_bot,c1_below_sma200,c4_bb_signal,c5_volume,c6a_tenkan_cross,c6b_below_cloud,c6c_cloud_breakout,c6d_inside_cloud,shares
CASY,Casey's,27893719122.0,Consumer Cyclical,Specialty Retail,https://www.caseys.com,23338.0,754.72,692.808,583.626,29.316,64.849,59.383,59.251,779.311,673.721,0.415,751.71,712.615,661.147,623.778,False,False,False,False,False,False,False,36959030
SLB,Schlumberger,79049679473.0,Energy,Oil & Gas Equipment & Services,https://www.slb.com,109000.0,52.66,49.921,40.07,31.422,59.274,55.831,51.715,54.217,48.1,1.065,51.475,49.175,48.975,44.885,False,False,False,False,False,False,False,1501133298
CMI,Cummins,86712288676.0,Industrials,Specialty Industrial Machinery,https://www.cummins.com,67400.0,627.18,570.552,476.312,31.674,68.011,63.47,51.067,642.664,496.991,1.591,586.665,569.025,562.1,558.602,False,False,True,False,False,False,False,138257420
EQIX,Equinix,107363500418.0,Real Estate,REIT - Specialty,https://www.equinix.com,13716.0,1088.62,965.332,823.6,32.178,81.537,78.926,68.4,1089.092,926.226,0.842,1038.57,1023.125,918.887,869.322,False,False,False,False,False,False,False,98623487
PWR,Quanta Services,90316138634.0,Industrials,Engineering & Construction,https://www.quantaservices.com,69500.0,601.88,556.935,454.744,32.356,64.545,59.631,50.57,607.821,531.972,1.106,575.79,562.659,533.92,492.513,False,False,False,False,False,False,False,150056720
ROST,Ross Stores,73391791077.0,Consumer Cyclical,Apparel Retail,https://www.rossstores.com,111000.0,227.82,209.128,171.944,32.497,65.744,59.48,57.951,228.855,208.517,1.144,221.92,217.36,203.483,197.49,False,False,False,False,False,False,False,322148148
HAL,Halliburton,31026099528.0,Energy,Oil & Gas Equipment & Services,https://www.halliburton.com,46000.0,37.15,36.184,28.028,32.547,49.106,55.229,49.106,39.815,36.484,0.932,37.135,37.42,34.914,32.264,False,False,False,False,False,False,False,835157457
DOW,Dow Inc.,25618449679.0,Basic Materials,Chemicals,https://www.dow.com,34600.0,35.6,35.451,26.737,33.149,42.352,57.241,42.352,42.941,35.904,1.775,38.425,38.77,32.294,29.174,False,False,False,False,False,False,False,719619373
ODFL,Old Dominion,45386762793.0,Industrials,Trucking,https://www.odfl.com,20591.0,217.76,196.459,162.896,33.68,67.504,64.763,57.482,219.644,178.936,0.747,208.41,198.115,202.891,188.706,False,False,False,False,False,False,False,208425619
ASML,ASML Holding,562632707367.0,Technology,Semiconductor Equipment & Materials,https://www.asml.com,43882.0,1459.8,1398.817,1082.604,34.841,55.941,51.47,44.539,1536.3,1233.026,0.949,1402.095,1390.045,1390.29,1301.633,False,False,False,False,False,False,False,385417665
ADI,Analog Devices,181343434118.0,Technology,Semiconductors,https://www.analog.com,24500.0,371.45,331.166,272.394,36.365,75.176,67.989,56.008,369.02,293.058,1.574,346.725,336.505,332.861,315.841,False,False,True,False,False,False,False,488204157
